time,year,month,week_of_year,day_of_week,is_market_open,is_flood_crisis,is_lockdown,Avg.Price (Rs./Kg),MaxPrice (Rs./Kg),Daily_Spread,Total Qty Arrived (Kgs),Qty Sold (Kgs),Smooth_Qty_Arrived,Auctioneer,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),Temp_Diff,precipitation_sum (mm),relative_humidity_2m_mean (%),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm),Precip_7D,RH_7D,Lag1,Lag7,Lag14,Lag30,Lag_MaxPrice_1,Lag_Spread_1,MA7,MA14,MA30,Lag_Qty_Sold_1,Lag_Total_Qty_Arrived_1,Precip_30D_Sum,Precip_Lag_60,Soil_Moisture_Lag_14
02/04/2024,2024,4,14,1,1,0,0,1579.22,2224,644.78,72988.1,72220,58340.9,2,23.1,36.7,9.5,27.2,0,0.246,21,30.5,3.2,0.247714286,1631.52,1424.57,1415.96,1449.585,2339,707.48,1516.297143,1492.282857,1442.265333,91464.3,92398.8,23.2,0,61
03/04/2024,2024,4,14,2,1,0,0,1561.265,2732,1170.735,88522.4,88522.4,53741.47143,2,23.4,36.9,7.51,29.39,0,0.242,24,30.5,3.2,0.247142857,1579.22,1410.855,1497.955,1435.88,2224,644.78,1538.39,1503.944286,1446.5865,72220,72988.1,23.2,0,41
04/04/2024,2024,4,14,3,1,0,0,1554.835,2220,665.165,117708.7,113873.2,64428.92857,2,25.4,37.1,9.52,27.58,0,0.238,24,31.4,3.2,0.246,1561.265,1518.47,1534.59,1507.19,2732,1170.735,1559.877143,1508.466429,1450.766,88522.4,88522.4,23.2,0,34
05/04/2024,2024,4,14,4,1,0,0,1592.875,2744,1151.125,117618.2,115017.6,81231.52857,2,24.6,36.5,8.76,27.74,0,0.241,25,30.5,3.2,0.245285714,1554.835,1522.6525,1512.555,1384.905,2220,665.165,1565.072143,1509.9125,1452.354167,113873.2,117708.7,23.2,0,31
06/04/2024,2024,4,14,5,1,0,0,1660.485,2302,641.515,89562.8,88873.7,82685.57143,2,24.5,36,8.27,27.73,0.1,0.242,25,30.3,1.7,0.244142857,1592.875,1526.835,1472.33,1394.98,2744,1151.125,1575.103929,1515.649643,1459.2865,115017.6,117618.2,23.3,0,26
07/04/2024,2024,4,14,6,0,0,0,1725.445,2427.5,702.055,0,0,82685.57143,0,24.5,36,8.27,27.73,0.1,0.242,25,30.3,0.2,0.243,1660.485,1579.1775,1438.94,1345.285,2302,641.515,1594.196786,1529.089286,1468.136667,88873.7,89562.8,23.4,0,26
08/04/2024,2024,4,15,0,1,0,0,1790.405,2553,762.595,110124.3,107840.5,85217.78571,2,19.2,32.9,5.48,27.42,0.1,0.251,53,25.3,0.3,0.243142857,1725.445,1631.52,1405.55,1356.18,2427.5,702.055,1615.092143,1549.553929,1480.808667,0,0,23.5,0,30
09/04/2024,2024,4,15,1,1,0,0,1724.12,2500,775.88,89581.1,89205.9,87588.21429,2,18.9,32.8,5.09,27.71,19.8,0.374,69,23.9,20.1,0.261428571,1790.405,1579.22,1424.57,1338.8825,2553,762.595,1637.79,1577.043571,1495.282833,107840.5,110124.3,43.3,0,29
10/04/2024,2024,4,15,2,0,0,0,1702.915,2561,858.085,0,0,74942.15714,0,18.9,32.8,5.09,27.71,19.8,0.374,69,23.9,39.9,0.280285714,1724.12,1561.265,1410.855,1321.585,2500,775.88,1658.49,1598.44,1508.124083,89205.9,89581.1,63.1,0.7,31
11/04/2024,2024,4,15,3,1,0,0,1681.71,2622,940.29,145852.7,142585,78962.72857,2,18.3,29.1,4.34,24.76,0.4,0.428,72,23.5,40.3,0.307428571,1702.915,1554.835,1518.47,1305.105,2561,858.085,1678.725714,1619.301429,1520.835083,0,0,63.5,0.7,28
12/04/2024,2024,4,15,4,1,0,0,1637.595,2742,1104.405,89614.6,87593,74962.21429,2,20.5,29.5,4.58,24.92,4.6,0.41,62,24.5,44.9,0.331571429,1681.71,1592.875,1522.6525,1386.14,2622,940.29,1696.850714,1630.961429,1533.388583,142585,145852.7,68.1,2.7,28
13/04/2024,2024,4,15,5,1,0,0,1579.31,2018,438.69,60412.8,57112.6,70797.92857,2,20.8,30.5,5.4,25.1,0.5,0.382,66,25.3,45.3,0.351571429,1637.595,1660.485,1526.835,1384.015,2742,1104.405,1703.239286,1639.171607,1541.770417,87593,89614.6,68.6,0.4,40
14/04/2024,2024,4,15,6,0,0,0,1613.405,2170,556.595,0,0,70797.92857,0,20.8,30.5,5.4,25.1,0.5,0.382,66,25.3,45.7,0.371571429,1579.31,1725.445,1579.1775,1450.13,2018,438.69,1691.642857,1642.919821,1548.28025,57112.6,60412.8,69.1,0,40
15/04/2024,2024,4,16,0,1,0,0,1647.5,2322,674.5,114904.1,113731.2,71480.75714,2,22.5,34.4,5.4,29,4.3,0.348,58,27.6,49.9,0.385428571,1613.405,1790.405,1631.52,1451.09,2170,556.595,1675.637143,1645.364643,1553.72275,0,0,72.6,1.1,23
16/04/2024,2024,4,16,1,1,0,0,1692.27,2702,1009.73,108031.3,106461.7,74116.5,2,22.6,35.7,6.2,29.5,0,0.321,44,29.2,30.1,0.377857143,1647.5,1724.12,1579.22,1438.7125,2322,674.5,1655.222143,1646.506071,1560.26975,113731.2,114904.1,71.8,0,21
17/04/2024,2024,4,16,2,1,0,0,1740.87,3223,1482.13,85705.6,84787.4,86360.15714,2,24.1,36.7,7.52,29.18,0,0.301,35,30.1,10.3,0.367428571,1692.27,1702.915,1561.265,1426.335,2702,1009.73,1650.672143,1654.581071,1568.721667,106461.7,108031.3,55.4,0,24
18/04/2024,2024,4,16,3,1,0,0,1779.845,2587,807.155,116207.1,115450.8,82125.07143,2,22.5,37.8,7.39,30.41,0,0.28,31,30.2,9.9,0.346285714,1740.87,1681.71,1554.835,1415.96,3223,1482.13,1656.094286,1667.41,1579.206167,84787.4,85705.6,54.1,0,24
19/04/2024,2024,4,16,4,0,0,0,1831.73,3042,1210.27,0,0,69322.98571,0,22.5,37.8,7.39,30.41,0,0.28,31,30.2,5.3,0.327714286,1779.845,1637.595,1592.875,1497.955,2587,807.155,1670.113571,1683.482143,1591.335667,115450.8,116207.1,53.4,0,25
20/04/2024,2024,4,16,5,1,0,0,1883.615,3497,1613.385,116904.1,113963.3,77393.17143,2,24.6,37,8.35,28.65,0,0.256,30,31.7,4.8,0.309714286,1831.73,1579.31,1660.485,1534.59,3042,1210.27,1697.847143,1700.543214,1602.4615,0,0,53.4,0,25
21/04/2024,2024,4,16,6,0,0,0,1885.0025,3139,1253.9975,0,0,77393.17143,0,24.6,37,8.35,28.65,0,0.256,30,31.7,4.3,0.291714286,1883.615,1613.405,1725.445,1512.555,3497,1613.385,1741.319286,1716.481071,1614.095667,113963.3,116904.1,53.4,0,25
22/04/2024,2024,4,17,0,1,0,0,1886.39,2781,894.61,96212.4,95412,74722.92857,2,21.9,34.4,5.31,29.09,2.6,0.263,54,27.3,2.6,0.279571429,1885.0025,1647.5,1790.405,1472.33,3139,1253.9975,1780.118929,1727.878036,1626.510583,0,0,56,0,53
23/04/2024,2024,4,17,1,1,0,0,1969.42,3092,1122.58,111581.9,111096.5,75230.15714,2,22.4,34.8,5.95,28.85,0.4,0.259,56,26.9,3,0.270714286,1886.39,1692.27,1724.12,1438.94,2781,894.61,1814.246071,1734.734107,1640.312583,95412,96212.4,56.4,0,69
24/04/2024,2024,4,17,2,1,0,0,1905.58,3009,1103.42,125552.2,120776.6,80922.52857,2,22.9,36.1,6.27,29.83,0.4,0.253,46,28.3,3.4,0.263857143,1969.42,1740.87,1702.915,1405.55,3092,1122.58,1853.838929,1752.255536,1657.99525,111096.5,111581.9,56.8,0,69
25/04/2024,2024,4,17,3,1,0,0,1923.515,3008,1084.485,123397.5,120632.1,81949.72857,2,23.6,36.5,7.02,29.48,0.2,0.251,38,29.8,3.6,0.259714286,1905.58,1779.845,1681.71,1424.57,3009,1103.42,1877.368929,1766.731607,1674.662917,120776.6,125552.2,57,0,72
26/04/2024,2024,4,17,4,0,0,0,2020.4,3010.5,990.1,0,0,81949.72857,0,23.6,36.5,7.02,29.48,0.2,0.251,38,29.8,3.8,0.255571429,1923.515,1831.73,1637.595,1410.855,3008,1084.485,1897.893214,1784.003393,1691.294417,120632.1,123397.5,57.2,16,62
27/04/2024,2024,4,17,5,1,0,0,2117.285,3013,895.715,76303.3,76303.3,76149.61429,2,23.9,36.5,6.17,30.33,2.8,0.259,44,29.4,6.6,0.256,2020.4,1883.615,1579.31,1518.47,3010.5,990.1,1924.846071,1811.346607,1711.612583,0,0,60,21.2,66
28/04/2024,2024,4,17,6,0,0,0,2210.045,3051,840.955,0,0,76149.61429,0,23.9,36.5,6.17,30.33,2.8,0.259,44,29.4,9.4,0.256428571,2117.285,1885.0025,1613.405,1522.6525,3013,895.715,1958.2275,1849.773393,1731.573083,76303.3,76303.3,62.8,0,66
29/04/2024,2024,4,18,0,1,0,0,2302.805,3089,786.195,123324.8,122288.2,80022.81429,2,23.9,35.5,6.85,28.65,0.9,0.252,47,30.1,7.7,0.254857143,2210.045,1886.39,1647.5,1526.835,3051,840.955,2004.662143,1892.390536,1754.486167,0,0,62.1,0,58
30/04/2024,2024,4,18,1,1,0,0,2165.675,2893,727.325,106405.5,101541.5,79283.32857,2,26,37.8,8.82,28.98,0,0.246,27,31.7,7.3,0.253,2302.805,1969.42,1692.27,1579.1775,3089,786.195,2064.15,1939.198036,1780.351833,122288.2,123324.8,60.5,0,44
01/05/2024,2024,5,18,2,1,0,0,2174.395,3083,908.605,136441.5,126407.8,80838.94286,2,23.5,36.8,10.16,26.64,0,0.243,19,31,6.9,0.251571429,2165.675,1905.58,1740.87,1631.52,2893,727.325,2092.186429,1973.012679,1799.90175,101541.5,106405.5,60.5,1.9,35
02/05/2024,2024,5,18,3,1,0,0,2052.6,3353,1300.4,118678.1,112054.4,80164.74286,2,21.9,36.5,8.73,27.77,0,0.241,16,29.4,6.7,0.250142857,2174.395,1923.515,1779.845,1579.22,3083,908.605,2130.588571,2003.97875,1817.997583,126407.8,136441.5,60.5,1.9,31
03/05/2024,2024,5,18,4,1,0,0,2034.75,2686,651.25,82785.7,81816.9,91991.27143,2,22.2,38.3,8.19,30.11,0,0.243,19,30,6.5,0.249,2052.6,2020.4,1831.73,1561.265,3353,1300.4,2149.029286,2023.46125,1833.776917,112054.4,118678.1,60.5,0,31
04/05/2024,2024,5,18,5,1,0,0,1949.135,2613,663.865,126277.2,107569.6,99130.4,2,22.9,39.2,8.51,30.69,0,0.25,17,32.2,3.7,0.247714286,2034.75,2117.285,1883.615,1554.835,2686,651.25,2151.079286,2037.962679,1849.55975,81816.9,82785.7,60.5,0,30
05/05/2024,2024,5,18,6,0,0,0,1945.67,2787.5,841.83,0,0,99130.4,0,22.9,39.2,8.51,30.69,0,0.25,17,32.2,0.9,0.246428571,1949.135,2210.045,1885.0025,1592.875,2613,663.865,2127.057857,2042.642679,1862.703083,107569.6,126277.2,60.5,0,30
06/05/2024,2024,5,19,0,1,0,0,1942.205,2962,1019.795,105741.1,96600.9,96618.44286,2,27.4,37.5,8.47,29.03,0,0.238,29,32.1,0,0.244428571,1945.67,2302.805,1886.39,1660.485,2787.5,841.83,2089.29,2046.976071,1874.462917,0,0,60.4,0,54
07/05/2024,2024,5,19,1,1,0,0,1959.02,2677,717.98,84385.7,82495.6,93472.75714,2,22.3,36.8,7.76,29.04,0,0.242,45,29.6,0,0.243857143,1942.205,2165.675,1969.42,1725.445,2962,1019.795,2037.775714,2050.962857,1883.853583,96600.9,105741.1,60.3,0,56
08/05/2024,2024,5,19,2,1,0,0,2034.73,2730,695.27,88603,86547.7,86638.68571,2,22.5,35,6.91,28.09,0.4,0.244,43,30,0.4,0.244,1959.02,2174.395,1905.58,1790.405,2677,717.98,2008.253571,2050.22,1891.639417,82495.6,84385.7,60.6,0,46
09/05/2024,2024,5,19,3,1,0,0,2166.72,3644,1477.28,79049.5,77407.5,80977.45714,2,24,35.3,6.82,28.48,2,0.27,49,29.7,2.4,0.248142857,2034.73,2052.6,1923.515,1724.12,2730,695.27,1988.301429,2059.445,1899.783583,86547.7,88603,42.8,0,38
10/05/2024,2024,5,19,4,1,0,0,1934.24,2780,845.76,71339.1,70849.2,79342.22857,2,24.2,37.8,6.71,31.09,5.1,0.288,46,30.3,7.5,0.254571429,2166.72,2034.75,2020.4,1702.915,3644,1477.28,2004.604286,2076.816786,1914.536917,77407.5,79049.5,28.1,0,38
11/05/2024,2024,5,19,5,1,0,0,2019.14,3613,1593.86,90233.9,83590,74193.18571,2,25.7,36.7,6.5,30.2,0.3,0.276,35,31.5,7.8,0.258285714,1934.24,1949.135,2117.285,1681.71,2780,845.76,1990.245714,2070.6625,1922.24775,70849.2,71339.1,28,0,44
12/05/2024,2024,5,19,6,0,0,0,2032.69,3094,1061.31,0,0,74193.18571,0,25.7,36.7,6.5,30.2,0.3,0.276,35,31.5,8.1,0.262,2019.14,1945.67,2210.045,1637.595,3613,1593.86,2000.246429,2063.652143,1933.495417,83590,90233.9,23.7,0,44
13/05/2024,2024,5,20,0,1,0,0,2046.24,2575,528.76,102607.3,101063.5,73745.5,2,23.9,35.3,5.37,29.93,0.4,0.275,41,29.1,8.5,0.267285714,2032.69,1942.205,2302.805,1579.31,3094,1061.31,2012.677857,2050.983929,1946.66525,0,0,23.6,0,47
14/05/2024,2024,5,20,1,1,0,0,2048.42,2845,796.58,103089.9,99254,76417.52857,2,23.8,37.3,6.74,30.56,0,0.276,39,30.4,8.5,0.272142857,2046.24,1959.02,2165.675,1613.405,2575,528.76,2027.54,2032.657857,1962.229583,101063.5,102607.3,23.1,0,27
15/05/2024,2024,5,20,2,1,0,0,2028.33,2537,508.67,49017.6,47559,70762.47143,1,23.5,37,5.94,31.06,0,0.279,41,30.1,8.1,0.277142857,2048.42,2034.73,2174.395,1647.5,2845,796.58,2040.311429,2024.2825,1976.730083,99254,103089.9,18.8,0.8,19
16/05/2024,2024,5,20,3,1,0,0,2009.25,2871,861.75,104722.6,101674.4,74430.05714,2,25.6,33.8,5.77,28.03,2.9,0.279,46,29.5,9,0.278428571,2028.33,2166.72,2052.6,1692.27,2537,508.67,2039.397143,2013.849286,1989.424417,47559,49017.6,21.7,0.8,16
17/05/2024,2024,5,20,4,1,0,0,1975.1,2853,877.9,93758.3,87270.8,77632.8,2,24.1,33.5,4.99,28.51,0,0.27,53,28.4,3.9,0.275857143,2009.25,1934.24,2034.75,1740.87,2871,861.75,2016.901429,2010.752857,1999.990417,101674.4,104722.6,21.7,16.4,19
18/05/2024,2024,5,20,5,1,0,0,2047.273333,3804,1756.726667,115725.5,111885,81274.45714,3,23.8,36.5,6.89,29.61,0,0.265,49,30.5,3.6,0.274285714,1975.1,2019.14,1949.135,1779.845,2853,877.9,2022.738571,2006.492143,2007.798083,87270.8,93758.3,21.7,1.3,17
19/05/2024,2024,5,20,6,0,0,0,1977.786667,3312.5,1334.713333,0,0,81274.45714,0,23.8,36.5,6.89,29.61,0,0.265,49,30.5,3.3,0.272714286,2047.273333,2032.69,1945.67,1831.73,3804,1756.726667,2026.757619,2013.502024,2016.712361,111885,115725.5,21.7,0.7,17
20/05/2024,2024,5,21,0,1,0,0,1908.3,2821,912.7,67417.8,65571.7,76247.38571,2,25.6,36.1,6.25,29.85,1.9,0.258,42,31.5,4.8,0.270285714,1977.786667,2046.24,1942.205,1883.615,3312.5,1334.713333,2018.914286,2015.796071,2021.580917,0,0,23.6,0,29
21/05/2024,2024,5,21,1,1,0,0,2000.295,3682,1681.705,103508.2,102232.9,76307.14286,2,26.8,40.1,6.53,33.57,0,0.253,34,32.8,4.8,0.267,1908.3,2048.42,1959.02,1885.0025,2821,912.7,1999.208571,2013.374286,2022.40375,65571.7,67417.8,23.6,0,45
22/05/2024,2024,5,21,2,1,0,0,2072.185,2855,782.815,100333.1,95062.7,83637.92857,2,27,40,7.18,32.82,0.1,0.25,40,32.2,4.9,0.262857143,2000.295,2028.33,2034.73,1886.39,3682,1681.705,1992.333571,2016.3225,2026.246833,102232.9,103508.2,21.1,0,43
